Restaurant,Adresse,PLZ,Ort,Kanton,Telefon,Website
Bistro Wipkingen Fachschule Viventa,Wipkingerplatz 4,8037,Zürich,ZH,044 446 43 91,
Black 1966,Färberstrasse 6,8008,Zürich,ZH,044 252 45 10,www.black1966.ch
Black Tap,Werdmühleplatz 4,8001,Zürich,ZH,,www.blacktap.ch
Blau,Herman-Greulich-Strasse 56,8004,Zürich,ZH,043 243 42 42,www.dasblau.ch
Blaue Ente,Seefeldstrasse 223,8008,Zürich,ZH,044 388 68 40,www.buehle-tierenbrunnen.ch
Blaue Zitrone,,,,,,www.blauezitrone.ch
Blockhus,"Schifflände 4, Kruggasse 2",8001,Zürich,ZH,044 252 14 53,www.restaurant-blockhus.ch
Blueberry Halle Löwenstrasse,"Hauptbahnhof, Halle Löwenstrasse",8001,Zürich,ZH,,www.blueberry-bakery.ch
Blueberry Halle Sihlquai,"Hauptbahnhof, Halle Sihlquai",8001,Zürich,ZH,,www.blueberry-bakery.ch
Blume,Winterthurerstrasse 534,8051,Zürich,ZH,044 322 82 00,www.blume.restaurant
Blumenau,Seefeldstrasse 269,8008,Zürich,ZH,044 750 02 33,www.trattoria-blumenau.ch
Bode,Fellenbergstrasse 228,8047,Zürich,ZH,043 931 79 01,www.bode-baeckerei.ch
Bodega Española,Münstergasse 15,8001,Zürich,ZH,044 251 23 10,www.bodega-espanola.ch
Bogen F,Viaduktstrasse 97,8005,Zürich,ZH,043 204 19 99,www.bogenf.ch/home/
Bohemia,Klosbachstrasse 2,8032,Zürich,ZH,044 383 70 60,
Bombay Karachi,Stampfenbachstrasse 32,8006,Zürich,ZH,41442626500,
Bonheur,Zypressenstrasse 115,8004,Zürich,ZH,044 558 99 00,www.cafedubonheur.ch
Boostbar,,,,,044 545 27 45,
Börni's Baizli,Tramstrasse 17,8050,Zürich,ZH,41443103118,www.boernisbaizli.ch
BOSSA NOVA Brazilian Steakhouse,Hohlstrasse 18,8004,Zürich,ZH,077 218 26 90,www.bossanovasteakhouse.ch/
Bottega Berta,Bertastrasse 36,8003,Zürich,ZH,,
Brasserie Lipp Jules Verne Lions Pub,Uraniastrasse 9,8001,Zürich,ZH,043 888 66 66,
Brasserie Louis,Niederdorfstrasse 10,8001,Zürich,ZH,41442507680,www.brasserie-louis.ch
Brasserie Ö,Schaffhauserstrasse 335,8050,Zürich,ZH,043 300 65 65,www.sternenoerlikon.ch
Brasserie Süd & The Counter,Bahnhofplatz 15,8001,Zürich,ZH,044 244 32 15,
Brezelkönig,ZH Hardbrücke,8005,Zürich,ZH,079 288 30 22,www.brezelkoenig.ch
Brezelkönig,Altstetterstrasse 11,8048,Zürich,ZH,044 431 08 53,www.brezelkoenig.ch
Brezelkönig,Tessinerplatz 10,8002,Zürich,ZH,,www.brezelkoenig.ch
Brezelkönig,Giesshübelstrasse 15a,8045,Zürich,ZH,041 289 64 64,www.brezelkoenig.ch
Brezelkönig,Muesumstrasse 1,8001,Zürich,ZH,,
Brezelkönig,"Hauptbahnhof, Halle Bahnhofplatz",8001,Zürich,ZH,,www.brezelkoenig.ch
Brezelkönig,Check in Halle 3,8058,Zürich-Flughafen,ZH,,www.brezelkoenig.ch
Brezelkönig,Stadelhofstrasse 8,8001,Zürich,ZH,,www.brezelkoenig.ch
Brezelkönig,"Airside Center, Level 1",8060,Zürich-Flughafen,ZH,,www.brezelkoenig.ch
Brezelkönig,"Hauptbahnhof, Passage Sihlquai",8001,Zürich,ZH,,www.brezelkoenig.ch
Brezelkönig Mitte,Hofwiesenstrasse 369,8050,Zürich,ZH,,www.brezelkoenig.ch
Brezelkönig Ost,Hofwiesenstrasse 369,8050,Zürich,ZH,,www.brezelkoenig.ch
Bridge,Europaallee 20,8004,Zürich,ZH,043 210 38 30,www.bridgezurich.ch
Brisket,Pfingstweidstrasse 6,8005,Zürich,ZH,044 241 20 20,www.brisket.ch
Bros Beans & Beats,Gartenhofstrasse 24,8004,Zürich,ZH,044 543 65 80,www.brosbeansbeats.ch
Brot Bistro & Bar,Hohlstrasse 67,8004,Zürich,ZH,076 575 40 02,www.brot.zuerich
BrunchButler,Köchlistrasse 2,8004,Zürich,ZH,043 443 53 53,www.brunchbutler.ch
Bü’s Hopfenau,Hopfenstrasse 19,8045,Zürich,ZH,044 211 94 11,www.bueshopfenau.ch
Buchmann,"Hauptbahnhof, Halle Bahnhofplatz",8001,Zürich,ZH,044 210 00 90,www.buchmannbeck.ch
Buchmann Beck,Seefeldstrasse 90,8008,Zürich,ZH,044 260 15 15,www.buchmannbeck.ch
Buchmann Beck,Waffenplatzstrasse 74,8002,Zürich,ZH,043 817 66 26,www.buchmannbeck.ch
Buchmann Beck,Rennweg 4,8001,Zürich,ZH,044 221 21 40,www.buchmannbeck.ch
Buchmann Beck,Max-Bill-Platz 13,8050,Zürich,ZH,043 333 57 50,www.buchmannbeck.ch
Buchmann Beck,Hottingerstrasse 33,8032,Zürich,ZH,,www.buchmannbeck.ch
Buchmann Binz,Uetlibergstrasse 65,8045,Zürich,ZH,044 466 71 51,www.buchmannbeck.ch
Buckhuser,Buckhauserstrasse 34,8048,Zürich,ZH,058 204 87 87,www.buckhuser.ch
Buena Vista,Lindenplatz 6,8048,Zürich,ZH,41765378048,
Buffet Express,"Hauptbahnhof, Querhalle",8001,Zürich,ZH,044 217 15 15,
Bund 39,Bäckerstrasse 39,8004,Zürich,ZH,044 242 11 77,www.bund39.ch
BURGER KING®,"Hauptbahnhof, Sihlquaipassage",8001,Zürich,ZH,044 217 15 15,www.burger-king.ch/de
BURGER KING®,Airside Center,8060,Zürich-Flughafen,ZH,043 816 85 40,www.burger-king.ch/de
BURGER KING®,Nansenstrasse 9,8050,Zürich,ZH,,www.burger-king.ch/de
BURGER KING®,"Hauptbahnhof, Querhalle Gleis 18",8001,Zürich,ZH,,www.burger-king.ch/de
BURGER KING®,Albisriederplatz 5,8004,Zürich,ZH,,www.burger-king.ch
BURGER KING®,"Hauptbahnhof, Halle Landesmuseum",8001,Zürich,ZH,,www.burger-king.ch/de
BURGER KING®,Lagerstrasse 1,8004,Zürich,ZH,044 217 15 53,www.burger-king.ch/de
BURGER KING®,Niederdorfstrasse 30,8001,Zürich,ZH,,www.burger-king.ch/de
"Bürgerasyl-Pfrundhaus,Gesundheitszentrum für das A",Leonhardstrasse 16-18,8001,Zürich,ZH,044 253 69 69,
Burgermeister Altstetten,Altsetterstrasse 146,8048,Zürich,ZH,,www.burger-meister.ch
Burgermeister Enge,Tessinerplatz 10,8002,Zürich,ZH,044 545 74 59,www.burger-meister.ch
